Team,Conf,HCA,HCA_Rank,PF,PF_Rank,PTS,PTS_Rank,NST,NST_Rank,Blk,Blk_Rank,Elevation,Elevation_Rank
UNC Asheville,BSth,3.1,184,-1.5,272,7,132,0,317,2,38,2100,28
Davidson,A10,3.1,185,-1.2,294,8,85,-1,140,1.9,43,800,91
Youngstown St.,Horz,3.1,186,-3.6,79,5.2,231,-1,137,-0.1,352,1000,58
Kennesaw St.,ASun,3,187,-1.8,245,6,191,-1.8,30,1.3,171,1100,48
James Madison,CAA,3,188,-2,219,4,283,-1.2,112,1.9,50,1400,37
Loyola Chicago,MVC,3,189,-3.1,129,6.7,154,-0.6,207,0.3,342,600,137
Southeastern Louisiana,Slnd,3,190,-2.1,210,8,82,0.3,328,1.8,65,100,258
William & Mary,CAA,3,191,-1.5,275,7.3,118,-0.3,275,2.5,7,100,258
East Carolina,Amer,3,192,-2.8,161,6.6,155,-0.2,284,1.1,208,100,258
Mississippi Valley St.,SWAC,3,193,-1.7,254,7.5,105,-1,146,1.6,91,100,258
Loyola MD,Pat,3,194,-2.9,153,6.2,179,0.1,320,1.3,162,300,210
Boston College,ACC,3,195,-2.6,170,5.8,197,-0.7,193,1.3,171,200,232
Oral Roberts,Sum,3,196,-2.4,188,7.5,103,-0.8,179,0.5,312,600,137
Illinois,B10,3,197,-2.5,183,6.8,144,-1.3,92,0.3,335,800,91
Grand Canyon,WAC,3,198,-1.9,234,6.3,174,-1,149,1.4,149,1100,48
Gonzaga,WCC,3,199,-1.4,278,6.8,149,-1.6,53,0.9,259,1900,31
Jacksonville St.,OVC,3,200,-3.5,87,2.7,326,-0.6,222,1.2,198,700,113
Northern Illinois,MAC,3,201,-1.8,241,5.1,237,-1.2,102,1.7,84,900,68
Idaho,BSky,3,202,-2,222,4.8,249,-0.7,203,1,241,2600,23
IUPUI,Horz,3,203,-2,220,6.1,183,-0.8,183,1.4,125,700,113
Sam Houston St.,Slnd,3,204,-1.8,237,6.4,169,-0.1,307,2.1,23,400,185
Alabama St.,SWAC,3,205,-2.5,179,5,243,-0.2,290,1.9,58,300,210
Georgia St.,SB,3,206,-2.2,209,5.5,208,-0.5,228,1.4,132,1000,58
Northern Kentucky,Horz,2.9,207,-2,222,7.1,129,-0.2,282,1.3,162,800,91
South Florida,Amer,2.9,208,-3,143,5,239,-0.5,228,1.1,225,100,258
